[Mon Jun 17 16:22:07 2024] ThreadID[29048]	Start Program.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Reading Game Level Text File.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Chest_Gold
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -2.605600 Y 0.000000 Z -22.567499
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Chest_Gold.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Doors_RoundArch
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -15.005600 Y 0.000000 Z -8.749400
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Doors_RoundArch.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Statue_Fox
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -7.138900 Y 2.000000 Z -17.013300
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Statue_Fox.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Statue_Stag
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X 11.094400 Y 0.000000 Z -14.349400
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Statue_Stag.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Trapdoor
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -19.605600 Y 0.000000 Z -6.849400
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Trapdoor.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Wall_Double_Broken
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Location: X -17.210600 Y 0.000000 Z -5.949400
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	H2B Imported: ../Level Renderer/Models/Wall_Double_Broken.h2b
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Jun 17 16:22:07 2024] ThreadID[29048]	[INFO]	Model Detected: Doors_RoundArch.001
