[Thu Apr 18 19:42:10 2024] ThreadID[37844]	Start Program.
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Chest_Gold
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -2.605600 Y 0.000000 Z -22.567499
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Doors_RoundArch
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -15.005600 Y 0.000000 Z -8.749400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Statue_Fox
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -7.138900 Y 2.000000 Z -17.013300
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Statue_Stag
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.094400 Y 0.000000 Z -14.349400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Trapdoor
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -19.605600 Y 0.000000 Z -6.849400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Wall_Double_Broken
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -17.210600 Y 0.000000 Z -5.949400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Doors_RoundArch.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.046400 Y 0.000000 Z 0.150600
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: BearTrap_Open.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 5.394400 Y 0.000000 Z -22.349400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Chest_Gold.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 10.419600 Y 0.000000 Z -17.725000
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Barrel.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 10.565100 Y 0.000000 Z -19.469299
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Curve_1.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -14.293400 Y 2.000000 Z -15.826000
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Curve_2.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -15.093400 Y 0.000000 Z -4.949400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Curve_1.002
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -14.293400 Y 4.000000 Z -15.826000
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Curve_2.002
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -15.093400 Y 2.000000 Z -4.949400
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Barrel.002
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 5.265100 Y 0.100000 Z -18.969299
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.994000 Y 0.000000 Z -0.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 1.006000 Y 0.000000 Z -0.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.002
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.994000 Y 0.000000 Z -2.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.003
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 1.006000 Y 0.000000 Z -2.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.004
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.994000 Y 0.000000 Z -4.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.005
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 1.006000 Y 0.000000 Z -4.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.006
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.994000 Y 0.000000 Z -6.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.007
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 1.006000 Y 0.000000 Z -6.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.008
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.023300 Y 2.000000 Z -12.806500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.009
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.023300 Y 2.000000 Z -14.806500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.010
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -0.023300 Y 2.000000 Z -16.806499
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.011
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -2.090900 Y 1.989100 Z -16.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.012
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -4.047800 Y 1.989100 Z -16.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.013
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -6.047800 Y 1.989100 Z -16.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.014
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -8.047800 Y 1.989100 Z -16.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.015
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -10.047800 Y 1.989100 Z -16.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Diamond
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.046600 Y 0.000000 Z -3.867700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Diamond.001
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -3.033000 Y 0.000000 Z -3.856700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.025
