[Thu Jun 13 18:29:04 2024] ThreadID[18524]	Start Program.
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Chest_Gold
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -2.605600 Y 0.000000 Z -22.567499
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Doors_RoundArch
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -15.005600 Y 0.000000 Z -8.749400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Statue_Fox
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -7.138900 Y 2.000000 Z -17.013300
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Statue_Stag
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.094400 Y 0.000000 Z -14.349400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Trapdoor
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -19.605600 Y 0.000000 Z -6.849400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Wall_Double_Broken
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -17.210600 Y 0.000000 Z -5.949400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Doors_RoundArch.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.046400 Y 0.000000 Z 0.150600
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: BearTrap_Open.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 5.394400 Y 0.000000 Z -22.349400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Chest_Gold.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 10.419600 Y 0.000000 Z -17.725000
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Barrel.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 10.565100 Y 0.000000 Z -19.469299
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Curve_1.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -14.293400 Y 2.000000 Z -15.826000
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Curve_2.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -15.093400 Y 0.000000 Z -4.949400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Curve_1.002
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -14.293400 Y 4.000000 Z -15.826000
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Curve_2.002
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -15.093400 Y 2.000000 Z -4.949400
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Barrel.002
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 5.265100 Y 0.100000 Z -18.969299
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.994000 Y 0.000000 Z -0.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 1.006000 Y 0.000000 Z -0.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.002
